traditional,radsup,radsupNEW,morphology
噼呀嗒,NA,口,RRR
噼呀嘰,NA,口,RRR
噼哩叭,NA,口,RRR
噼噼啪,NA,口,RRR
崩登倉,NA,NA,RRR
布谷布,NA,NA,RRR
忒兒嘍嘍,NA,NA,RRR
提提嗒,NA,NA,RRR
擦呀擦,NA,NA,RRR
當當丁,NA,NA,RRR
砰啊磅,NA,NA,RRR
谷布谷,NA,NA,RRR
趿趿拉,NA,NA,RRR
踢踢嗒,NA,NA,RRR
鏜啷鏜,NA,NA,RRR
鼓隆冬,NA,NA,RRR
丁丁當當,NA,NA,RRRR
丁丁董董,NA,NA,RRRR
丁冬丁冬,NA,NA,RRRR
丁當丁當,NA,NA,RRRR
丁零丁零,NA,NA,RRRR
丁零當啷,NA,NA,RRRR
丁零當郎,NA,NA,RRRR
七嗵咕冬,NA,NA,RRRR
乒乒乓乓,NA,NA,RRRR
乒乓乒乓,NA,NA,RRRR
乒令乓瑯,NA,NA,RRRR
乒當乓當,NA,NA,RRRR
乞抽扢叉,NA,NA,RRRR
令台令台,NA,NA,RRRR
伊哩烏蘆,NA,NA,RRRR
伶伶朗朗,NA,NA,RRRR
作作索索,NA,NA,RRRR
倉倉慶倉,NA,NA,RRRR
克丁丁當,NA,NA,RRRR
冬冬當當,NA,NA,RRRR
刮刮匝匝,NA,NA,RRRR
刮刮咂咂,NA,NA,RRRR
刮刮桚桚,NA,NA,RRRR
刮刮雜雜,NA,NA,RRRR
刷拉刷拉,NA,NA,RRRR
刺溜刺溜,NA,NA,RRRR
剌登哩登,NA,NA,RRRR
剔流秃魯,NA,NA,RRRR
剝格剝格,NA,NA,RRRR
劈劈啪啪,NA,NA,RRRR
劈劈拍拍,NA,NA,RRRR
劈咧啪啦,NA,NA,RRRR
劈哩叭啦,NA,NA,RRRR
劈哩啪啦,NA,NA,RRRR
劈哩扑嚕,NA,NA,RRRR
劈啦劈啦,NA,NA,RRRR
劈嗒拍嗒,NA,NA,RRRR
劈通扑通,NA,NA,RRRR
劈里啪啦,NA,NA,RRRR
卜卜赤赤,NA,NA,RRRR
卡嚓卡嚓,NA,NA,RRRR
卡拉卡拉,NA,NA,RRRR
卡搭卡搭,NA,NA,RRRR
取律律律,NA,NA,RRRR
叩叩篤篤,NA,NA,RRRR
叭吧叭吧,NA,口,RRRR
叭啦叭啦,NA,口,RRRR
叮叮咚咚,NA,口,RRRR
叮叮咣咣,NA,口,RRRR
叮叮噹噹,NA,口,RRRR
叮叮當當,NA,口,RRRR
叮咚叮咚,NA,口,RRRR
叮咚玲咚,NA,NA,RRRR
叮當叮當,NA,NA,RRRR
叮硼叮硼,NA,NA,RRRR
叮鈴叮鈴,NA,NA,RRRR
叮鈴噹啷,NA,NA,RRRR
吉丁丁當,NA,NA,RRRR
吧咂吧咂,NA,口,RRRR
吧唧吧唧,NA,口,RRRR
吧喇吧喇,NA,口,RRRR
吧嗒吧嗒,NA,口,RRRR
吭吃吭吃,NA,口,RRRR
吭吭哈哈,NA,口,RRRR
吭吭哧哧,NA,口,RRRR
吭吭嚓嚓,NA,口,RRRR
吭哧吭哧,NA,口,RRRR
吱吱吜吜,NA,口,RRRR
吱吱呀呀,NA,口,RRRR
吱吱啾啾,NA,口,RRRR
吱吱喳喳,NA,口,RRRR
吱吱嘎嘎,NA,口,RRRR
吱吱格格,NA,NA,RRRR
吱呀吱呀,NA,口,RRRR
吱哩哇啦,NA,口,RRRR
吱哩喳啦,NA,口,RRRR
吱喲吱喲,NA,口,RRRR
吱嘎吱嘎,NA,口,RRRR
吱扭吱扭,NA,NA,RRRR
吵吵囔囔,NA,口,RRRR
吸溜吸溜,NA,NA,RRRR
吸里忽剌,NA,NA,RRRR
吾哩哇啦,NA,口,RRRR
呢呢喃喃,NA,口,RRRR
呦呦詵詵,NA,口,RRRR
呯嗵呯嗵,NA,口,RRRR
呱呀呱呀,NA,口,RRRR
呱唧呱唧,NA,口,RRRR
呱唧呱啦,NA,口,RRRR
呱啦呱啦,NA,口,RRRR
呱嗒呱嗒,NA,口,RRRR
呱噠呱噠,NA,口,RRRR
呲呲啦啦,NA,口,RRRR
呲啦呲啦,NA,口,RRRR
呼吃呼吃,NA,口,RRRR
呼呼哧哧,NA,口,RRRR
呼呼嚕嚕,NA,口,RRRR
呼呼淅淅,NA,口,RRRR
呼哧呼哧,NA,口,RRRR
呼哩呼嚕,NA,口,RRRR
呼啦呼啦,NA,口,RRRR
呼嗤呼嗤,NA,口,RRRR
呼嚕呼嚕,NA,口,RRRR
呼拉呼拉,NA,NA,RRRR
呼碌呼碌,NA,NA,RRRR
呼隆呼隆,NA,NA,RRRR
咇咇剝剝,NA,NA,RRRR
咈咈哧哧,NA,口,RRRR
咈哧咈哧,NA,口,RRRR
咋咋呼呼,NA,口,RRRR
咋咋唬唬,NA,口,RRRR
咔咔嚓嚓,NA,口,RRRR
咔啦咔啦,NA,口,RRRR
咔噔咔噔,NA,口,RRRR
咕冬咕冬,NA,NA,RRRR
咕吐咕吐,NA,口,RRRR
咕吱咕吱,NA,口,RRRR
咕咕吃吃,NA,口,RRRR
咕咕呱呱,NA,口,RRRR
咕咕咚咚,NA,口,RRRR
咕咕唧唧,NA,口,RRRR
咕咕噥噥,NA,口,RRRR
咕咕嚕嚕,NA,口,RRRR
咕咕隆隆,NA,NA,RRRR
咕咚咕咚,NA,口,RRRR
咕哇咕哇,NA,口,RRRR
咕哩咕咚,NA,口,RRRR
咕唧咕唧,NA,口,RRRR
咕啊呱啊,NA,口,RRRR
咕啊嘎啊,NA,口,RRRR
咕啷咕啷,NA,口,RRRR
咕嗒咕嗒,NA,口,RRRR
咕嘍咕嘍,NA,口,RRRR
咕嘟咕嘟,NA,口,RRRR
咕嘰咕嘰,NA,口,RRRR
咕噔咕噔,NA,口,RRRR
咕噠咕噠,NA,口,RRRR
咕嚕咕嚕,NA,口,RRRR
咕嚕嚕嚕,NA,口,RRRR
咕里呱啦,NA,NA,RRRR
咕隆咕隆,NA,NA,RRRR
咕隆鼓隆,NA,NA,RRRR
咚咚鏘鏘,NA,NA,RRRR
咚當咚當,NA,NA,RRRR
咣咣當當,NA,NA,RRRR
咣噹咣噹,NA,口,RRRR
咣當咣當,NA,NA,RRRR
咦咦嗡嗡,NA,口,RRRR
咪嗚咪嗚,NA,口,RRRR
咭吱咯吱,NA,口,RRRR
咭咭刮刮,NA,NA,RRRR
咭咭吱吱,NA,口,RRRR
咭咭呱呱,NA,口,RRRR
咭咭呷呷,NA,NA,RRRR
咭咭咕咕,NA,口,RRRR
咭咭咯咯,NA,口,RRRR
咭咭嘎嘎,NA,口,RRRR
咭咭巴巴,NA,NA,RRRR
咭唎呱囉,NA,口,RRRR
咭嘎咭嘎,NA,口,RRRR
咭里咕嚕,NA,NA,RRRR
咭里咣啷,NA,NA,RRRR
咭里扎啦,NA,NA,RRRR
咯叭咯叭,NA,口,RRRR
咯吱咯吱,NA,口,RRRR
咯咚咯咚,NA,口,RRRR
咯咯嗒嗒,NA,口,RRRR
咯咯噔噔,NA,口,RRRR
咯咯噠噠,NA,口,RRRR
咯咯羅羅,NA,NA,RRRR
咯啦咯啦,NA,口,RRRR
咯嘣咯嘣,NA,口,RRRR
咯噔咯噔,NA,口,RRRR
咯㘕咯㘕,NA,NA,RRRR
咯當咯當,NA,NA,RRRR
咯碌咯碌,NA,NA,RRRR
咿呀咿呀,NA,口,RRRR
咿咿呀呀,NA,口,RRRR
咿咿唔唔,NA,口,RRRR
咿咿啞啞,NA,口,RRRR
咿咿宛宛,NA,NA,RRRR
咿啞咿啞,NA,口,RRRR
咿嚦嗚剌,NA,口,RRRR
哇哈哈哈,NA,口,RRRR
哇哩哇啦,NA,口,RRRR
哇啦哇啦,NA,口,RRRR
哇喇哇喇,NA,口,RRRR
哇嗚哇嗚,NA,口,RRRR
哈哧哈哧,NA,口,RRRR
哐哐當當,NA,NA,RRRR
哐哧哐哧,NA,口,RRRR
哐哩哐當,NA,NA,RRRR
哐噹哐噹,NA,口,RRRR
哐當哐當,NA,NA,RRRR
哐當當當,NA,NA,RRRR
哦嘎哦嘎,NA,口,RRRR
哧哧哈哈,NA,口,RRRR
哧哧溜溜,NA,NA,RRRR
哧唿哧唿,NA,口,RRRR
哧啦哧啦,NA,口,RRRR
哧溜哧溜,NA,NA,RRRR
哩哩啦啦,NA,口,RRRR
哩哩嚕嚕,NA,口,RRRR
哩哩囉嗦,NA,口,RRRR
哩哩羅羅,NA,NA,RRRR
哼哧哼哧,NA,口,RRRR
哼哼呵呵,NA,口,RRRR
哼哼哈哈,NA,口,RRRR
哼哼哧哧,NA,口,RRRR
哼哼唧唧,NA,口,RRRR
哼哼啊啊,NA,口,RRRR
哼嗐哼嗐,NA,口,RRRR
哼阿哼阿,NA,NA,RRRR
哽吱哽吱,NA,口,RRRR
哽哽咽咽,NA,口,RRRR
唏哩嘩啦,NA,口,RRRR
唏哩嘩啷,NA,口,RRRR
唏唎嘩喇,NA,NA,RRRR
唏唏呼呼,NA,口,RRRR
唏唏哈哈,NA,口,RRRR
唏唏噓噓,NA,口,RRRR
唏啷嘩啷,NA,口,RRRR
唏𠺕嘩喇,NA,NA,RRRR
唔唔呀呀,NA,口,RRRR
唔理哇啦,NA,口,RRRR
唧叮咕咚,NA,口,RRRR
唧吱咯吱,NA,口,RRRR
唧咕唧咕,NA,口,RRRR
唧咚咕咚,NA,口,RRRR
唧唧吱吱,NA,口,RRRR
唧唧呱呱,NA,口,RRRR
唧唧咕咕,NA,口,RRRR
唧唧啾啾,NA,口,RRRR
唧唧喳喳,NA,口,RRRR
唧唧嘎嘎,NA,口,RRRR
唧唧噥噥,NA,口,RRRR
唧唧知知,NA,NA,RRRR
唧唧鴨鴨,NA,NA,RRRR
唧噔咯噔,NA,口,RRRR
唧噔嘎噔,NA,口,RRRR
唧拉查啦,NA,NA,RRRR
唧里唧拉,NA,NA,RRRR
𠳭嚓𠳭嚓,NA,口,RRRR
唯唯諾諾,NA,NA,RRRR
唰拉唰拉,NA,NA,RRRR
啛啛唧唧,NA,口,RRRR
啪啦啪啦,NA,口,RRRR
啪嗒啪嗒,NA,口,RRRR
啪噠啪噠,NA,口,RRRR
啵哆啵哆,NA,口,RRRR
啾啾唧唧,NA,口,RRRR
喀喀嚓嚓,NA,口,RRRR
喃喃吶吶,NA,口,RRRR
喃喃咄咄,NA,口,RRRR
喃喃篤篤,NA,NA,RRRR
喃喃訥訥,NA,NA,RRRR
喇喇嗹嗹,NA,口,RRRR
喔哧喔哧,NA,口,RRRR
喳叭喳叭,NA,口,RRRR
喳啦喳啦,NA,口,RRRR
喳喳切切,NA,NA,RRRR
喳喳呼呼,NA,口,RRRR
喳喳啦啦,NA,口,RRRR
喳達喳達,NA,NA,RRRR
嗖嗖吱吱,NA,口,RRRR
嗗碌嗗碌,NA,NA,RRRR
嗚呀嗚呀,NA,口,RRRR
嗚哇嗚哇,NA,口,RRRR
嗚哈哈哈,NA,口,RRRR
嗚哈嗚哈,NA,口,RRRR
嗚哩嗚啦,NA,口,RRRR
嗚嗚呀呀,NA,口,RRRR
嗚嗚咽咽,NA,口,RRRR
嗚嗚哇哇,NA,口,RRRR
嗚嗚哐當,NA,NA,RRRR
嗚嗚啕啕,NA,口,RRRR
嗚嗚囔囔,NA,口,RRRR
嗚嚕嗚嚕,NA,口,RRRR
嗚隆嗚隆,NA,NA,RRRR
嗞啦嗞啦,NA,口,RRRR
嗡嗡嚶嚶,NA,口,RRRR
嗡嗡揚揚,NA,NA,RRRR
嗡嗡營營,NA,NA,RRRR
嗤啦嗤啦,NA,口,RRRR
嗬囉嗬囉,NA,口,RRRR
嗯嗯啊啊,NA,口,RRRR
嗶哩啪啦,NA,口,RRRR
嗶𠺣嗶𠺣,NA,口,RRRR
嗶嗶剝剝,NA,NA,RRRR
嗶嗶卟卟,NA,口,RRRR
嗶嗶𠺣𠺣,NA,口,RRRR
嗶里嗶里,NA,NA,RRRR
嘀哩嘀哩,NA,口,RRRR
嘀哩嘀啦,NA,口,RRRR
嘀嗒嘀嗒,NA,口,RRRR
嘀嘀冬冬,NA,NA,RRRR
嘀嘀吧吧,NA,口,RRRR
嘀嘀咕咕,NA,口,RRRR
嘀嘀嗒嗒,NA,口,RRRR
嘀嘀嘟嘟,NA,口,RRRR
嘀嘀噔噔,NA,口,RRRR
嘀噔嘀噔,NA,口,RRRR
嘀嚕嘟嚕,NA,口,RRRR
嘀得嘀得,NA,NA,RRRR
嘀拉噠啦,NA,NA,RRRR
嘀里多落,NA,NA,RRRR
嘁哩喀喳,NA,口,RRRR
嘁喳嘁喳,NA,口,RRRR
嘁嘁咻咻,NA,口,RRRR
嘁嘁喳喳,NA,口,RRRR
嘁嘁嘈嘈,NA,口,RRRR
嘁嘁嚓嚓,NA,口,RRRR
嘈嘈切切,NA,NA,RRRR
嘈嘈雜雜,NA,NA,RRRR
嘎叭嘎叭,NA,口,RRRR
嘎吧嘎吧,NA,口,RRRR
嘎吱嘎吱,NA,口,RRRR
嘎啷嘎啷,NA,口,RRRR
嘎喳嘎喳,NA,口,RRRR
嘎嗒嘎嗒,NA,口,RRRR
嘎嘎喳喳,NA,口,RRRR
嘎嘎噔噔,NA,口,RRRR
嘎嘣嘎嘣,NA,口,RRRR
嘎噔嘎噔,NA,口,RRRR
嘎崩嘎崩,NA,NA,RRRR
嘎得嘎得,NA,NA,RRRR
嘓嘟嘟嘟,NA,口,RRRR
嘖嘖喳喳,NA,口,RRRR
㗭㗭嗦嗦,NA,口,RRRR
嘟嘟噥噥,NA,口,RRRR
嘟嘟囔囔,NA,口,RRRR
嘟嘟念念,NA,NA,RRRR
嘟噠嘟噠,NA,口,RRRR
嘟嚕嘟嚕,NA,口,RRRR
嘩哩咣啷,NA,口,RRRR
嘩哩嘩啦,NA,口,RRRR
嘩哩嘩啷,NA,口,RRRR
嘩啦啦啦,NA,口,RRRR
嘩啦嘩啦,NA,口,RRRR
嘩啷嘩啷,NA,口,RRRR
嘩喇嘩喇,NA,口,RRRR
嘩嘩剝剝,NA,NA,RRRR
嘩嘩啦啦,NA,口,RRRR
嘩嘩拉拉,NA,NA,RRRR
嘭咚嘭咚,NA,口,RRRR
嘭嘭啪啪,NA,口,RRRR
嘮嘮叨叨,NA,口,RRRR
嘰咕嘰咕,NA,口,RRRR
嘰哩呱啦,NA,口,RRRR
嘰哩呱嚕,NA,口,RRRR
嘰哩咕㖨,NA,口,RRRR
嘰哩咕嚕,NA,口,RRRR
嘰啾嘰啾,NA,口,RRRR
嘰喳嘰喳,NA,口,RRRR
嘰嘰呱呱,NA,口,RRRR
嘰嘰咕咕,NA,口,RRRR
嘰嘰喳喳,NA,口,RRRR
嘰嘰嘎嘎,NA,口,RRRR
嘰里呱啦,NA,NA,RRRR
嘰里咕㖨,NA,NA,RRRR
嘰里咕嚕,NA,NA,RRRR
嘶嘶啦啦,NA,口,RRRR
嘶沙嘶沙,NA,NA,RRRR
嘻呼嘻呼,NA,口,RRRR
嘻哩哈啦,NA,口,RRRR
嘻唎嘩喇,NA,口,RRRR
嘻嘻哈哈,NA,口,RRRR
嘿兒嘿兒,NA,NA,RRRR
噌噌沙沙,NA,NA,RRRR
噔咚扎咶,NA,NA,RRRR
噔愣噔愣,NA,NA,RRRR
噗咚噗咚,NA,口,RRRR
噗喇噗喇,NA,口,RRRR
噗嘎嘟嘟,NA,口,RRRR
噗噗咚咚,NA,口,RRRR
噗嚓噗嚓,NA,口,RRRR
噗嚕噗嚕,NA,口,RRRR
噗得噗得,NA,NA,RRRR
噗通噗通,NA,NA,RRRR
噝啞噝啞,NA,口,RRRR
噝噝啦啦,NA,口,RRRR
噝拉噝拉,NA,NA,RRRR
噝留噝留,NA,NA,RRRR
噪噪切切,NA,NA,RRRR
噫嘻嘻嘻,NA,口,RRRR
噹啷噹啷,NA,口,RRRR
噼呀噼呀,NA,口,RRRR
噼哩啪啦,NA,口,RRRR
噼啪噼啪,NA,口,RRRR
噼嗒噼嗒,NA,口,RRRR
噼噼叭叭,NA,口,RRRR
噼噼啪啪,NA,口,RRRR
噼里啪啦,NA,NA,RRRR
嚌嚌嘈嘈,NA,口,RRRR
嚶嚶嗡嗡,NA,口,RRRR
嚶嚶翁翁,NA,NA,RRRR
囁囁嚅嚅,NA,口,RRRR
囉哩叭嗦,NA,口,RRRR
失流疏剌,NA,NA,RRRR
失留屑剌,NA,NA,RRRR
失留疏剌,NA,NA,RRRR
妙嗚妙嗚,NA,NA,RRRR
孔咚孔咚,NA,NA,RRRR
孤咕孤咕,NA,NA,RRRR
尼亞尼亞,NA,NA,RRRR
屑屑索索,NA,NA,RRRR
布布谷谷,NA,NA,RRRR
幫啷幫啷,NA,NA,RRRR
幫郎幫郎,NA,NA,RRRR
幽幽咽咽,NA,NA,RRRR
幾里咕嚕,NA,NA,RRRR
幾里拉喳,NA,NA,RRRR
廝琅琅湯,NA,NA,RRRR
必力不剌,NA,NA,RRRR
必律不剌,NA,NA,RRRR
必必剝剝,NA,NA,RRRR
必溜不剌,NA,NA,RRRR
必留不剌,NA,NA,RRRR
忒楞楞騰,NA,NA,RRRR
忽忽嚕嚕,NA,NA,RRRR
忽搭忽搭,NA,NA,RRRR
忽隆忽隆,NA,NA,RRRR
怕呀怕呀,NA,NA,RRRR
恩恩烏烏,NA,NA,RRRR
悉悉沙沙,NA,NA,RRRR
扑哧扑哧,NA,NA,RRRR
扑哩扑啦,NA,NA,RRRR
扑哩扑通,NA,NA,RRRR
扑嗤扑嗤,NA,NA,RRRR
扑嗵扑嗵,NA,NA,RRRR
扑嚓扑嚓,NA,NA,RRRR
扑嚕扑嚕,NA,NA,RRRR
扑扑拉拉,NA,扌,RRRR
扑扑通通,NA,NA,RRRR
扑打扑打,NA,扌,RRRR
扑拉扑拉,NA,扌,RRRR
扑落扑落,NA,NA,RRRR
扑踏扑踏,NA,NA,RRRR
扑蹬扑蹬,NA,NA,RRRR
扑通扑通,NA,NA,RRRR
扑騰扑騰,NA,NA,RRRR
抽抽咽咽,NA,NA,RRRR
抽抽噎噎,NA,NA,RRRR
抽抽搭搭,NA,扌,RRRR
撕撕巴巴,NA,NA,RRRR
支楞支楞,NA,NA,RRRR
支楞楞爭,NA,NA,RRRR
昔留係零,NA,NA,RRRR
杭育杭育,NA,NA,RRRR
格噔格噔,NA,NA,RRRR
格拉格拉,NA,NA,RRRR
槭槭楂楂,NA,木,RRRR
沙啦沙啦,NA,NA,RRRR
沙噠沙噠,NA,NA,RRRR
沙棱沙棱,NA,NA,RRRR
沙沙啦啦,NA,NA,RRRR
淅淅沙沙,NA,氵,RRRR
淅淅瀝瀝,NA,氵,RRRR
淅淅颯颯,NA,NA,RRRR
淅溜淅冽,NA,NA,RRRR
淅瀝淅瀝,NA,氵,RRRR
淅留淅零,NA,NA,RRRR
淅零淅留,NA,NA,RRRR
淙淙潺潺,NA,氵,RRRR
滴咚滴咚,NA,NA,RRRR
滴嗒滴嗒,NA,NA,RRRR
滴滴咕咕,NA,NA,RRRR
滴滴嗒嗒,NA,NA,RRRR
滴滴噠噠,NA,NA,RRRR
滴滴搭搭,NA,NA,RRRR
滴滴淅淅,NA,氵,RRRR
滴滴溜溜,NA,氵,RRRR
滴滴答答,NA,NA,RRRR
滴滴鈴鈴,NA,NA,RRRR
滴答滴答,NA,NA,RRRR
滴里搭拉,NA,NA,RRRR
滴里瓜拉,NA,NA,RRRR
滴里都嚕,NA,NA,RRRR
滴鈴鈴鈴,NA,NA,RRRR
澎澎魄魄,NA,NA,RRRR
瀝瀝拉拉,NA,NA,RRRR
瀝瀝淅淅,NA,氵,RRRR
營營嗡嗡,NA,NA,RRRR
玎玎璫璫,NA,王,RRRR
玎玲玎玲,NA,王,RRRR
玲玲瓏瓏,NA,王,RRRR
琤琤琮琮,NA,王,RRRR
琮琮玲玲,NA,王,RRRR
畢畢剝剝,NA,NA,RRRR
畢畢啪啪,NA,NA,RRRR
畢裡拍拉,NA,NA,RRRR
當啷嘩啦,NA,NA,RRRR
當啷當啷,NA,NA,RRRR
當當丁丁,NA,NA,RRRR
的嗒的嗒,NA,NA,RRRR
砰砰叭叭,NA,NA,RRRR
硌吱硌吱,NA,NA,RRRR
稀哩嘩啦,NA,NA,RRRR
稀哩轟隆,NA,NA,RRRR
稀里嘩啦,NA,NA,RRRR
稀里轟龍,NA,NA,RRRR
窸窣窸窣,NA,穴,RRRR
窸窸窣窣,NA,穴,RRRR
窸窸索索,NA,NA,RRRR
簌簌落落,NA,NA,RRRR
紛紛囔囔,NA,NA,RRRR
胡魯胡魯,NA,NA,RRRR
胳肢胳察,NA,NA,RRRR
膈膈膊膊,NA,月,RRRR
花啦花啦,NA,NA,RRRR
花拉花拉,NA,NA,RRRR
蓬蓬鐺鐺,NA,NA,RRRR
蕭蕭瑟瑟,NA,NA,RRRR
蕭蕭颯颯,NA,NA,RRRR
豁啷豁啷,NA,NA,RRRR
趿拉趿拉,NA,NA,RRRR
趿趿拉拉,NA,NA,RRRR
踢踏踢踏,NA,足,RRRR
踢踢打打,NA,NA,RRRR
踢踢踏踏,NA,足,RRRR
踢通踢通,NA,NA,RRRR
轟轟烈烈,NA,NA,RRRR
轟轟隆隆,NA,NA,RRRR
轟轟龍隆,NA,NA,RRRR
轟隆轟隆,NA,NA,RRRR
辟留扑碌,NA,NA,RRRR
辟辟啪啪,NA,NA,RRRR
辟里拨剌,NA,NA,RRRR
通哐通哐,NA,NA,RRRR
達滴達滴,NA,NA,RRRR
釘噹釘噹,NA,NA,RRRR
釘釘鐺鐺,NA,金,RRRR
鈴鐺鈴鈴,NA,金,RRRR
鈴鐺鈴鐺,NA,金,RRRR
錚光瓦亮,NA,NA,RRRR
錚錚淙淙,NA,金,RRRR
錚錚琮琮,NA,金,RRRR
鏘鏘朗朗,NA,NA,RRRR
鏜啷啷啷,NA,NA,RRRR
鏜啷鏜啷,NA,NA,RRRR
鏦鏦錚錚,NA,金,RRRR
隱隱轟轟,NA,NA,RRRR
鞺鞺鞳鞳,NA,革,RRRR
颼颼殺殺,NA,NA,RRRR
骨哩骨咚,NA,NA,RRRR
骨嘟骨嘟,NA,NA,RRRR
骨碌吧唧,NA,NA,RRRR
骨碌骨碌,NA,NA,RRRR
骨魯骨魯,NA,NA,RRRR
得龍得龍咚,NA,NA,RRRRR
落落落落噓,NA,NA,RRRRR
呼嚕咕咚嗚隆,NA,NA,RRRRRR
嗒焉,口,口,YAN
荅焉,NA,艹,YAN
