traditional,simplified,pyoriginal,pinyintone,pinyinnum,morphology,sensorymod,datasource,inbetween,same
丁丁,丁丁,zhēng zhēng,zhēng~zhēng,zheng1~zheng1,REDUPLICATION,SOUND,Shijing,dīngdīng,different
丁丁,丁丁,zhēng zhēng,zhēng~zhēng,zheng1~zheng1,REDUPLICATION,SOUND,Shijing,dīngdīng,different
于嗟,于嗟,yú jiē,yú~jiē,yu2~jie1,DIFFERENT,SOUND,Shijing,yújiē,different
于嗟,于嗟,yú jiē,yú~jiē,yu2~jie1,DIFFERENT,SOUND,Shijing,yújiē,different
于嗟,于嗟,yú jiē,yú~jiē,yu2~jie1,DIFFERENT,SOUND+EVALUATION,Shijing,yújiē,different
于嗟,于嗟,yú jiē,yú~jiē,yu2~jie1,DIFFERENT,SOUND+EVALUATION,Shijing,yújiē,different
于嗟,于嗟,yú jiē,yú~jiē,yu2~jie1,DIFFERENT,SOUND+EVALUATION,Shijing,yújiē,different
于嗟,于嗟,yú jiē,yú~jiē,yu2~jie1,DIFFERENT,SOUND+FEELING,Shijing,yújiē,different
于嗟,于嗟,yú jiē,yú~jiē,yu2~jie1,DIFFERENT,SOUND+FEELING,Shijing,yújiē,different
于嗟乎,于嗟乎,yú jiē hū,yú~jiē~hū,yu2~jie1~hu1,DIFFERENT,SOUND+EVALUATION,Shijing,yújiē~hū,different
于嗟乎,于嗟乎,yú jiē hū,yú~jiē~hū,yu2~jie1~hu1,DIFFERENT,SOUND+EVALUATION,Shijing,yújiē~hū,different
于嗟乎,于嗟乎,yú jiē hū,yú~jiē~hū,yu2~jie1~hu1,DIFFERENT,SOUND+FEELING,Shijing,yújiē~hū,different
于嗟乎,于嗟乎,yú jiē hū,yú~jiē~hū,yu2~jie1~hu1,DIFFERENT,SOUND+FEELING,Shijing,yújiē~hū,different
亹亹,亹亹,mén mén,mén~mén,men2~men2,REDUPLICATION,EVALUATION,Shijing,wěiwěi,different
亹亹,亹亹,mén mén,mén~mén,men2~men2,REDUPLICATION,EVALUATION,Shijing,wěiwěi,different
仇仇,仇仇,chóu chóu,chóu~chóu,chou2~chou2,REDUPLICATION,EVALUATION,Shijing,chóuchóu,different
仡仡,仡仡,yì yì,yì~yì,yi4~yi4,REDUPLICATION,VISUAL,Shijing,yìyì,different
令令,令令,lìng lìng,lìng~lìng,ling4~ling4,REDUPLICATION,SOUND,Shijing,lìnglìng,different
伎伎,伎伎,jì jì,jì~jì,ji4~ji4,REDUPLICATION,MOVEMENT,Shijing,jìjì,different
休休,休休,xiū xiū,xīu~xīu,xiu1~xiu1,REDUPLICATION,EVALUATION,Shijing,xīuxīu,different
伴奐,伴奂,bàn huàn,bàn~huàn,ban4~huan4,RHYME,EVALUATION,Shijing,bànhuàn,different
伾伾,伾伾,pī pī,pī~pī,pi1~pi1,REDUPLICATION,VISUAL+EVALUATION,Shijing,pīpī,different
佌佌,佌佌,cǐ cǐ,cǐ~cǐ,ci3~ci3,REDUPLICATION,VISUAL,Shijing,cǐcǐ,different
佗佗,佗佗,tuó tuó,tuó~tuó,tuo2~tuo2,REDUPLICATION,EVALUATION,Shijing,tuótuó,different
佻佻,佻佻,tiāo tiāo,tiāo~tiāo,tiao1~tiao1,REDUPLICATION,EVALUATION,Shijing,tiāotiāo,different
俁俁,俣俣,yǔ yǔ,yǔ~yǔ,yu3~yu3,REDUPLICATION,VISUAL,Shijing,yǔyǔ,different
俅俅,俅俅,qiú qiú,qíu~qíu,qiu2~qiu2,REDUPLICATION,EVALUATION,Shijing,qíuqíu,different
俟俟,俟俟,sì sì,sì~sì,si4~si4,REDUPLICATION,MOVEMENT,Shijing,sìsì,different
倉兄,仓兄,chuànghuǎng,chuàng~huǎng,chuang4~huang3,RHYME,FEELING,Shijing,cāngxiōng~ ~c~h~u~à~n~g~h~u~a~3~n~g,different
偃仰,偃仰,yǎn yǎng,yǎn~yǎng,yan3~yang3,RHYME,VISUAL,Shijing,yǎnyǎng,different
偕偕,偕偕,xié xié,xié~xié,xie2~xie2,REDUPLICATION,EVALUATION,Shijing,xiéxié,different
傍傍,傍傍,bàng bàng,bàng~bàng,bang4~bang4,REDUPLICATION,MOVEMENT,Shijing,bàngbàng,different
傞傞,傞傞,suō suō,suō~suō,suo1~suo1,REDUPLICATION,MOVEMENT,Shijing,suōsuō,different
僊僊,仙仙,xiān xiān,xiān~xiān,xian1~xian1,REDUPLICATION,MOVEMENT,Shijing,xiānxiān,different
僛僛,僛僛,qī qī,qī~qī,qi1~qi1,REDUPLICATION,MOVEMENT,Shijing,qīqī,different
僮僮,童童,tóng tóng,tóng~tóng,tong2~tong2,REDUPLICATION,VISUAL,Shijing,tóngtóng,different
儦儦,儦儦,biāo biāo,biāo~biāo,biao1~biao1,REDUPLICATION,MOVEMENT+VISUAL,Shijing,biāobiāo,different
儦儦,儦儦,biāo biāo,biāo~biāo,biao1~biao1,REDUPLICATION,MOVEMENT+VISUAL,Shijing,biāobiāo,different
優優,优优,yōu yōu,yōu~yōu,you1~you1,REDUPLICATION,EVALUATION,Shijing,yōuyōu,different
兢兢,兢兢,jīng jīng,jīng~jīng,jing1~jing1,REDUPLICATION,FEELING,Shijing,jīngjīng,different
兢兢,兢兢,jīng jīng,jīng~jīng,jing1~jing1,REDUPLICATION,FEELING,Shijing,jīngjīng,different
兢兢,兢兢,jīng jīng,jīng~jīng,jing1~jing1,REDUPLICATION,FEELING,Shijing,jīngjīng,different
兢兢,兢兢,jīng jīng,jīng~jīng,jing1~jing1,REDUPLICATION,FEELING,Shijing,jīngjīng,different
兢兢,兢兢,jīng jīng,jīng~jīng,jing1~jing1,REDUPLICATION,VISUAL+EVALUATION,Shijing,jīngjīng,different
冥冥,冥冥,míng míng,míng~míng,ming2~ming2,REDUPLICATION,VISUAL,Shijing,míngmíng,different
几几,几几,jǐ jǐ,jī~jī,ji1~ji1,REDUPLICATION,EVALUATION,Shijing,jījī,different
切切,切切,qièqiè,qiē~qiē,qie1~qie1,RED,SOUND,Tang,qiēqiē,different
勉勉,勉勉,miǎn miǎn,miǎn~miǎn,mian3~mian3,REDUPLICATION,EVALUATION,Shijing,miǎnmiǎn,different
卬卬,卬卬,áng áng,áng~áng,ang2~ang2,REDUPLICATION,EVALUATION,Shijing,ángáng,different
厭厭,厌厌,yàn yàn,yàn~yàn,yan4~yan4,REDUPLICATION,FEELING,Shijing,yànyàn,different
厭厭,厌厌,yàn yàn,yàn~yàn,yan4~yan4,REDUPLICATION,FEELING,Shijing,yànyàn,different
厭厭,厌厌,yàn yàn,yàn~yàn,yan4~yan4,REDUPLICATION,VISUAL,Shijing,yànyàn,different
厭厭,厌厌,yàn yàn,yàn~yàn,yan4~yan4,REDUPLICATION,VISUAL+EVALUATION,Shijing,yànyàn,different
參差,参差,cēncī,cēn~cī,cen1~ci1,ALLIT,MOVEMENT+EVALUATION,Tang,cānchà,different
參差,参差,cēncī,cēn~cī,cen1~ci1,ALLITERATION,VISUAL,Shijing,cānchà,different
參差,参差,cēncī,cēn~cī,cen1~ci1,ALLITERATION,VISUAL,Shijing,cānchà,different
參差,参差,cēncī,cēn~cī,cen1~ci1,ALLITERATION,VISUAL,Shijing,cānchà,different
反反,反反,fǎn fǎn,fǎn~fǎn,fan3~fan3,REDUPLICATION,EVALUATION,Shijing,fǎnfǎn,different
反反,反反,fǎn fǎn,fǎn~fǎn,fan3~fan3,REDUPLICATION,EVALUATION,Shijing,fǎnfǎn,different
叟叟,叟叟,sǒu sǒu,sǒu~sǒu,sou3~sou3,REDUPLICATION,SOUND,Shijing,sǒusǒu,different
咽咽,咽咽,yàn yàn,yān~yān,yan1~yan1,REDUPLICATION,SOUND,Shijing,yānyān,different
咽咽,咽咽,yàn yàn,yān~yān,yan1~yan1,REDUPLICATION,SOUND,Shijing,yānyān,different
哀哀,哀哀,āi āi,āi~āi,ai1~ai1,REDUPLICATION,SOUND+FEELING,Shijing,āiāi,different
哀哀,哀哀,āi āi,āi~āi,ai1~ai1,REDUPLICATION,SOUND+FEELING,Shijing,āiāi,different
唪唪,唪唪,fěng fěng,fěng~fěng,feng3~feng3,REDUPLICATION,VISUAL,Shijing,fěngfěng,different
唯唯,唯唯,wěi wěi,wéi~wéi,wei2~wei2,REDUPLICATION,MOVEMENT,Shijing,wéiwéi,different
啍啍,啍啍,tūn tūn,tūn~tūn,tun1~tun1,REDUPLICATION,SOUND+MOVEMENT,Shijing,tūntūn,different
啾啾,啾啾,jiūjiū,jīu~jīu,jiu1~jiu1,RED,SOUND,Tang,jīujīu,different
喈喈,喈喈,jiē jiē,jiē~jiē,jie1~jie1,REDUPLICATION,SOUND,Shijing,jiējiē,different
喈喈,喈喈,jiē jiē,jiē~jiē,jie1~jie1,REDUPLICATION,SOUND,Shijing,jiējiē,different
喈喈,喈喈,jiē jiē,jiē~jiē,jie1~jie1,REDUPLICATION,SOUND,Shijing,jiējiē,different
喈喈,喈喈,jiē jiē,jiē~jiē,jie1~jie1,REDUPLICATION,SOUND,Shijing,jiējiē,different
喈喈,喈喈,jiē jiē,jiē~jiē,jie1~jie1,REDUPLICATION,SOUND,Shijing,jiējiē,different
喈喈,喈喈,jiē jiē,jiē~jiē,jie1~jie1,REDUPLICATION,SOUND,Shijing,jiējiē,different
喓喓,喓喓,yāo yāo,yāo~yāo,yao1~yao1,REDUPLICATION,SOUND,Shijing,yāoyāo,different
喓喓,喓喓,yāo yāo,yāo~yāo,yao1~yao1,REDUPLICATION,SOUND,Shijing,yāoyāo,different
喤喤,喤喤,huáng huáng,huáng~huáng,huang2~huang2,REDUPLICATION,SOUND,Shijing,huánghuáng,different
喤喤,喤喤,huáng huáng,huáng~huáng,huang2~huang2,REDUPLICATION,SOUND,Shijing,huánghuáng,different
喤喤,喤喤,huáng huáng,huáng~huáng,huang2~huang2,REDUPLICATION,SOUND,Shijing,huánghuáng,different
嗟嗟,嗟嗟,jiē jiē,jiē~jiē,jie1~jie1,REDUPLICATION,SOUND+FEELING,Shijing,jiējiē,different
嗟嗟,嗟嗟,jiē jiē,jiē~jiē,jie1~jie1,REDUPLICATION,SOUND+FEELING,Shijing,jiējiē,different
嗟嗟,嗟嗟,jiē jiē,jiē~jiē,jie1~jie1,REDUPLICATION,SOUND+FEELING,Shijing,jiējiē,different
嗷嗷,嗷嗷,áo áo,áo~áo,ao2~ao2,REDUPLICATION,SOUND,Shijing,áoáo,different
嘒嘒,嘒嘒,huì huì,hùi~hùi,hui4~hui4,REDUPLICATION,SOUND,Shijing,hùihùi,different
嘒嘒,嘒嘒,huì huì,hùi~hùi,hui4~hui4,REDUPLICATION,SOUND,Shijing,hùihùi,different
嘒嘒,嘒嘒,huì huì,hùi~hùi,hui4~hui4,REDUPLICATION,SOUND,Shijing,hùihùi,different
嘔啞,呕哑,ǒuyǎ,ōu~yǎ,ou1~ya3,ALLIT,SOUND,Tang,ōuyǎ,different
嘽嘽,啴啴,chǎn chǎn,chǎn~chǎn,chan3~chan3,REDUPLICATION,SOUND,Shijing,tāntān,different
嘽嘽,啴啴,chǎn chǎn,chǎn~chǎn,chan3~chan3,REDUPLICATION,SOUND+VISUAL,Shijing,tāntān,different
嘽嘽,啴啴,chǎn chǎn,chǎn~chǎn,chan3~chan3,REDUPLICATION,SOUND+VISUAL,Shijing,tāntān,different
嘽嘽,啴啴,chǎn chǎn,chǎn~chǎn,chan3~chan3,REDUPLICATION,SOUND+VISUAL,Shijing,tāntān,different
嘽嘽,啴啴,chǎn chǎn,chǎn~chǎn,chan3~chan3,REDUPLICATION,SOUND+VISUAL,Shijing,tāntān,different
噦噦,哕哕,huì huì,huì~huì,hui4~hui4,REDUPLICATION,SOUND,Shijing,yuěyuě,different
噦噦,哕哕,huì huì,huì~huì,hui4~hui4,REDUPLICATION,SOUND,Shijing,yuěyuě,different
噦噦,哕哕,huì huì,huì~huì,hui4~hui4,REDUPLICATION,VISUAL,Shijing,yuěyuě,different
噫嘻,噫嘻,yī xī,yī~xī,yi1~xi1,ASSONANCE,SOUND+FEELING,Shijing,yīxī,different
噲噲,哙哙,kuài kuài,kuài~kuài,kuai4~kuai4,REDUPLICATION,VISUAL,Shijing,kuàikuài,different
嚶嚶,嘤嘤,yīng yīng,yīng~yīng,ying1~ying1,REDUPLICATION,SOUND,Shijing,yīngyīng,different
囂囂,嚣嚣,xiāo xiāo,xiāo~xiāo,xiao1~xiao1,REDUPLICATION,EVALUATION,Shijing,xiāoxiāo,different
囂囂,嚣嚣,xiāo xiāo,xiāo~xiāo,xiao1~xiao1,REDUPLICATION,SOUND,Shijing,xiāoxiāo,different
囂囂,嚣嚣,xiāo xiāo,xiāo~xiāo,xiao1~xiao1,REDUPLICATION,SOUND,Shijing,xiāoxiāo,different
坎坎,坎坎,kǎn kǎn,kǎn~kǎn,kan3~kan3,REDUPLICATION,SOUND,Shijing,kǎnkǎn,different
坎坎,坎坎,kǎn kǎn,kǎn~kǎn,kan3~kan3,REDUPLICATION,SOUND,Shijing,kǎnkǎn,different
坎坎,坎坎,kǎn kǎn,kǎn~kǎn,kan3~kan3,REDUPLICATION,SOUND,Shijing,kǎnkǎn,different
坎坎,坎坎,kǎn kǎn,kǎn~kǎn,kan3~kan3,REDUPLICATION,SOUND,Shijing,kǎnkǎn,different
塗塗,涂涂,tú tú,tú~tú,tu2~tu2,REDUPLICATION,VISUAL,Shijing,tútú,different
增增,增增,zēng zēng,zēng~zēng,zeng1~zeng1,REDUPLICATION,VISUAL,Shijing,zēngzēng,different
夢夢,梦梦,mèng mèng,mèng~mèng,meng4~meng4,REDUPLICATION,VISUAL,Shijing,mèngmèng,different
夢夢,梦梦,mèng mèng,mèng~mèng,meng4~meng4,REDUPLICATION,VISUAL,Shijing,mèngmèng,different
夭夭,夭夭,yāo yāo,yāo~yāo,yao1~yao1,REDUPLICATION,EVALUATION,Shijing,yāoyāo,different
夭夭,夭夭,yāo yāo,yāo~yāo,yao1~yao1,REDUPLICATION,VISUAL,Shijing,yāoyāo,different
夭夭,夭夭,yāo yāo,yāo~yāo,yao1~yao1,REDUPLICATION,VISUAL,Shijing,yāoyāo,different
夭夭,夭夭,yāo yāo,yāo~yāo,yao1~yao1,REDUPLICATION,VISUAL,Shijing,yāoyāo,different
央央,央央,yāng yāng,yāng~yāng,yang1~yang1,REDUPLICATION,SOUND,Shijing,yāngyāng,different
央央,央央,yāng yāng,yāng~yāng,yang1~yang1,REDUPLICATION,VISUAL,Shijing,yāngyāng,different
央央,央央,yāng yāng,yāng~yāng,yang1~yang1,REDUPLICATION,VISUAL,Shijing,yāngyāng,different
央央,央央,yāng yāng,yāng~yāng,yang1~yang1,REDUPLICATION,VISUAL,Shijing,yāngyāng,different
契契,契契,qì qì,qì~qì,qi4~qi4,REDUPLICATION,FEELING,Shijing,qìqì,different
契闊,契阔,qiè kuò,qì~kuò,qi4~kuo4,PARARHYME,VISUAL,Shijing,qìkuò,different
奔奔,奔奔,bēn bēn,bēn~bēn,ben1~ben1,REDUPLICATION,MOVEMENT,Shijing,bēnbēn,different
奔奔,奔奔,bēn bēn,bēn~bēn,ben1~ben1,REDUPLICATION,MOVEMENT,Shijing,bēnbēn,different
奕奕,奕奕,yì yì,yì~yì,yi4~yi4,REDUPLICATION,VISUAL,Shijing,yìyì,different
奕奕,奕奕,yì yì,yì~yì,yi4~yi4,REDUPLICATION,VISUAL+EVALUATION,Shijing,yìyì,different
奕奕,奕奕,yì yì,yì~yì,yi4~yi4,REDUPLICATION,VISUAL+EVALUATION,Shijing,yìyì,different
奕奕,奕奕,yì yì,yì~yì,yi4~yi4,REDUPLICATION,VISUAL+EVALUATION,Shijing,yìyì,different
奕奕,奕奕,yì yì,yì~yì,yi4~yi4,REDUPLICATION,VISUAL+EVALUATION,Shijing,yìyì,different
委蛇,委蛇,wēi yí,wěi~yí,wei3~yi2,RHYME,EVALUATION,Shijing,wěishé,different
委蛇,委蛇,wēi yí,wěi~yí,wei3~yi2,RHYME,EVALUATION,Shijing,wěishé,different
委蛇,委蛇,wēi yí,wěi~yí,wei3~yi2,RHYME,EVALUATION,Shijing,wěishé,different
委蛇,委蛇,wēi yí,wěi~yí,wei3~yi2,RHYME,EVALUATION,Shijing,wěishé,different
委蛇,委蛇,wēi yí,wěi~yí,wei3~yi2,RHYME,EVALUATION,Shijing,wěishé,different
委蛇,委蛇,wēi yí,wěi~yí,wei3~yi2,RHYME,EVALUATION,Shijing,wěishé,different
嬛嬛,嬛嬛,huán huán,huán~huán,huan2~huan2,REDUPLICATION,VISUAL+EVALUATION,Shijing,huánhuán,different
孽孽,孽孽,niè niè,niè~niè,nie4~nie4,REDUPLICATION,VISUAL+EVALUATION,Shijing,nièniè,different
安安,安安,ān'ān,ān~ān,an1~an1,REDUPLICATION,VISUAL+EVALUATION,Shijing,ānān,different
密密,密密,mì mi ,mì~mì,mi4~mi4,RED,VISUAL,Tang,mìmì,different
實實,实实,shí shí,shí~shí,shi2~shi2,REDUPLICATION,VISUAL,Shijing,shíshí,different
將將,将将,jiāng jiāng,jiāng~jiāng,jiang1~jiang1,REDUPLICATION,SOUND,Shijing,jiāngjiāng,different
將將,将将,jiāng jiāng,jiāng~jiāng,jiang1~jiang1,REDUPLICATION,SOUND,Shijing,jiāngjiāng,different
將將,将将,jiāng jiāng,jiāng~jiāng,jiang1~jiang1,REDUPLICATION,SOUND,Shijing,jiāngjiāng,different
將將,将将,jiāng jiāng,jiāng~jiāng,jiang1~jiang1,REDUPLICATION,SOUND+VISUAL,Shijing,jiāngjiāng,different
將將,将将,jiāng jiāng,jiāng~jiāng,jiang1~jiang1,REDUPLICATION,SOUND+VISUAL,Shijing,jiāngjiāng,different
將將,将将,jiāng jiāng,jiāng~jiāng,jiang1~jiang1,REDUPLICATION,VISUAL,Shijing,jiāngjiāng,different
將將,将将,jiāng jiāng,jiāng~jiāng,jiang1~jiang1,REDUPLICATION,VISUAL,Shijing,jiāngjiāng,different
居居,居居,jū jū,jū~jū,ju1~ju1,REDUPLICATION,EVALUATION,Shijing,jūjū,different
峩峩,峩峩,é é,é~é,e2~e2,REDUPLICATION,EVALUATION,Shijing,éé~/~é~é,different
峨峨,峨峨,é é,é~é,e2~e2,REDUPLICATION,EVALUATION,Shijing,éé~/~é~é,different
崔崔,崔崔,cuī cuī,cūi~cūi,cui1~cui1,REDUPLICATION,VISUAL,Shijing,cūicūi,different
崔嵬,崔嵬,cuīwéi,cūi~wéi,cui1~wei2,RHYME,VISUAL,Tang,cūiwéi,different
崔嵬,崔嵬,cuīwéi,cūi~wéi,cui1~wei2,REDUPLICATION,VISUAL,Shijing,cūiwéi,different
崔嵬,崔嵬,cuīwéi,cūi~wéi,cui1~wei2,REDUPLICATION,VISUAL,Shijing,cūiwéi,different
嵯峨,嵯峨,cuó'é,cuó~é,cuo2~e2,RHYME,VISUAL,Tang,cuóé,different
巖巖,岩岩,yán yán,yán~yán,yan2~yan2,REDUPLICATION,VISUAL,Shijing,yányán,different
巖巖,岩岩,yán yán,yán~yán,yan2~yan2,REDUPLICATION,VISUAL,Shijing,yányán,different
差池,差池,chāchí,chà~chí,cha4~chi2,RHYME,VISUAL,Shijing,chàchí,different
幝幝,幝幝,chǎn chǎn,chǎn~chǎn,chan3~chan3,REDUPLICATION,VISUAL,Shijing,chǎnchǎn,different
幡幡,幡幡,fān fān,fān~fān,fan1~fan1,REDUPLICATION,EVALUATION,Shijing,fānfān,different
幡幡,幡幡,fān fān,fān~fān,fan1~fan1,REDUPLICATION,MOVEMENT,Shijing,fānfān,different
幡幡,幡幡,fān fān,fān~fān,fan1~fan1,REDUPLICATION,MOVEMENT,Shijing,fānfān,different
幪幪,幪幪,méng méng,méng~méng,meng2~meng2,REDUPLICATION,VISUAL,Shijing,méngméng,different
龐龐,庞庞,páng páng,páng~páng,pang2~pang2,REDUPLICATION,VISUAL,Shijing,pángpáng~ ~b~ē~n~g~ ~b~ē~n~g,different
弈弈,弈弈,yì yì,yì~yì,yi4~yi4,REDUPLICATION,FEELING,Shijing,yìyì,different
弗弗,弗弗,fú fú,fú~fú,fu2~fu2,REDUPLICATION,SOUND+MOVEMENT,Shijing,fúfú,different
彊彊,强强,qiáng qiáng,qiáng~qiáng,qiang2~qiang2,REDUPLICATION,VISUAL+EVALUATION,Shijing,qiángqiáng,different
彊彊,强强,qiáng qiáng,qiáng~qiáng,qiang2~qiang2,REDUPLICATION,VISUAL+EVALUATION,Shijing,qiángqiáng,different
彧彧,彧彧,yù yù,yù~yù,yu4~yu4,REDUPLICATION,VISUAL,Shijing,yùyù,different
彭彭,彭彭,péng péng,péng~péng,peng2~peng2,REDUPLICATION,EVALUATION,Shijing,péngpéng,different
彭彭,彭彭,péng péng,péng~péng,peng2~peng2,REDUPLICATION,EVALUATION,Shijing,péngpéng,different
彭彭,彭彭,péng péng,péng~péng,peng2~peng2,REDUPLICATION,MOVEMENT,Shijing,péngpéng,different
彭彭,彭彭,péng péng,péng~péng,peng2~peng2,REDUPLICATION,MOVEMENT,Shijing,péngpéng,different
彭彭,彭彭,péng péng,péng~péng,peng2~peng2,REDUPLICATION,VISUAL,Shijing,péngpéng,different
彭彭,彭彭,péng péng,péng~péng,peng2~peng2,REDUPLICATION,VISUAL,Shijing,péngpéng,different
彭彭,彭彭,péng péng,péng~péng,peng2~peng2,REDUPLICATION,VISUAL+EVALUATION,Shijing,péngpéng,different
律律,律律,lǜ lǜ,lǜ~lǜ,lü4~lü4,REDUPLICATION,VISUAL,Shijing,lv̀lv̀,different
忉忉,忉忉,dāo dāo,dāo~dāo,dao1~dao1,REDUPLICATION,FEELING,Shijing,dāodāo,different
忉忉,忉忉,dāo dāo,dāo~dāo,dao1~dao1,REDUPLICATION,FEELING,Shijing,dāodāo,different
