pinyintone,pinyinnone,pinyinnum,traditional,simplified,MC,OC,datasource,sensorymod
ā~tì,a~ti,a1~ti4,阿嚏,阿嚏,'a~tejH,*qˤa[j]~*[t]ˤi[t]-s (< *t.lˤ-?),GongLiangYu,SOUND
ā~tì,a~ti,a1~ti4,啊嚏,啊嚏,NA~tejH,NA~*[t]ˤi[t]-s (< *t.lˤ-?),GongLiangYu,SOUND
ā~tì,a~ti,a1~ti4,阿叱,阿叱,'a,*qˤa[j],GongLiangYu,SOUND
a~yā,a~ya,a5~ya1,啊呀,啊呀,NA,NA,GongLiangYu,SOUND
a~yī,a~yi,a5~yi1,啊咿,啊咿,NA~'jij,NA~*[ʔ]ij,GongLiangYu,SOUND
ā~yō,a~yo,a1~yo1,阿唷,阿唷,'a,*qˤa[j],GongLiangYu,SOUND
ā~yòu,a~you,a1~you4,阿侑,阿侑,'a,*qˤa[j],GongLiangYu,SOUND
à,a,a4,啊,啊,NA,NA,GongLiangYu,SOUND
āi,ai,ai1,唉,唉,NA,NA,GongLiangYu,SOUND
āi,ai,ai1,哎,哎,NA,NA,GongLiangYu,SOUND
āi~āi,ai~ai,ai1~ai1,唉唉,唉唉,NA,NA,GongLiangYu,SOUND
āi~yā,ai~ya,ai1~ya1,哎呀,哎呀,NA,NA,GongLiangYu,SOUND
āi~yō,ai~yo,ai1~yo1,哎唷,哎唷,NA,NA,GongLiangYu,SOUND
āi~yōu,ai~you,ai1~you1,哎呦,哎呦,NA,NA,GongLiangYu,SOUND
ǎi~nǎi,ai~nai,ai3~nai3,欸乃,欸乃,NA~nojX,NA~*nˤə(ŋ)ʔ,GongLiangYu,SOUND
áo~áo,ao~ao,ao2~ao2,嗷嗷,嗷嗷,NA,NA,GongLiangYu,SOUND
bā,ba,ba1,吧,吧,NA,NA,GongLiangYu,SOUND
bā,ba,ba1,叭,叭,NA,NA,GongLiangYu,SOUND
bā~bā,ba~ba,ba1~ba1,叭叭,叭叭,NA,NA,GongLiangYu,SOUND
bā~dā,ba~da,ba1~da1,吧嗒,吧嗒,NA,NA,GongLiangYu,SOUND
bā~dā,ba~da,ba1~da1,吧噠,吧哒,NA,NA,GongLiangYu,SOUND
bā~dā~bā~dā,ba~da~ba~da,ba1~da1~ba1~da1,吧嗒吧嗒,吧嗒吧嗒,NA,NA,GongLiangYu,SOUND
bā~dī,ba~di,ba1~di,吧的,吧的,NA~tek,NA~*[t-l]ˤewk,GongLiangYu,SOUND
bā~jī,ba~ji,ba1~ji1,吧唧,吧唧,NA,NA,GongLiangYu,SOUND
bā~jī,ba~ji,ba1~ji1,叭唧,叭唧,NA,NA,GongLiangYu,SOUND
ba~jī~ba~jī,ba~ji~ba~ji,ba1~ji1~ba5~ji1,吧唧吧唧,吧唧吧唧,NA,NA,GongLiangYu,SOUND
bāng,bang,bang1,梆,梆,NA,NA,GongLiangYu,SOUND
bāng~bāng~pò~pò,bang~bang~po~po,bang1~bang1~po4~po4,澎澎魄魄,澎澎魄魄,NA~NA~phaek~phaek,NA~NA~*pʰˤrak~*pʰˤrak,GongLiangYu,SOUND
bāng~láng~bāng~láng,bang~lang~bang~lang,bang1~lang2~bang1~lang2,幫郎幫郎,帮郎帮郎,NA~lang~NA~lang,NA~*C.rˤaŋ~NA~*C.rˤaŋ,GongLiangYu,SOUND
bāng~lāng~bāng~lāng,bang~lang~bang~lang,bang1~lang1~bang1~lang1,幫啷幫啷,帮啷帮啷,NA,NA,GongLiangYu,SOUND
bēng,beng,beng1,嘣,嘣,NA,NA,GongLiangYu,SOUND
pēng,peng,peng1,磞,磞,NA,NA,GongLiangYu,SOUND
bēng~bēng,beng~beng,beng1~beng1,嘣嘣,嘣嘣,NA,NA,GongLiangYu,SOUND
bì~bì~bō~bō,bi~bi~bo~bo,bi4~bi4~bo1~bo1,畢畢剝剝,毕毕剥剥,pjit~pjit~paewk~paewk,*pi[t]~*pi[t]~*[p]ˤrok (~ *mə-pˤrok)~*[p]ˤrok (~ *mə-pˤrok),GongLiangYu,SOUND
bì~bì~bō~bō,bi~bi~bo~bo,bi4~bi4~bo1~bo1,嗶嗶剝剝,哔哔剥剥,NA~NA~paewk~paewk,NA~NA~*[p]ˤrok (~ *mə-pˤrok)~*[p]ˤrok (~ *mə-pˤrok),GongLiangYu,SOUND
bì~bì~bō~bō,bi~bi~bo~bo,bi4~bi4~bo1~bo1,必必剝剝,必必剥剥,pjit~pjit~paewk~paewk,*pi[t]~*pi[t]~*[p]ˤrok (~ *mə-pˤrok)~*[p]ˤrok (~ *mə-pˤrok),GongLiangYu,SOUND
bì~bì~pā~pā,bi~bi~pa~pa,bi4~bi4~pa1~pa1,畢畢啪啪,毕毕啪啪,pjit~pjit,*pi[t]~*pi[t],GongLiangYu,SOUND
bì~bō,bi~bo,bi4~bo1,必剝,必剥,pjit~paewk,*pi[t]~*[p]ˤrok (~ *mə-pˤrok),GongLiangYu,SOUND
bì~bō~bō,bi~bo~bo,bi4~bo1~bo1,嗶剝剝,哔剥剥,NA~paewk~paewk,NA~*[p]ˤrok (~ *mə-pˤrok)~*[p]ˤrok (~ *mə-pˤrok),GongLiangYu,SOUND
bì~lī~pā~la,bi~li~pa~la,bi4~li1~pa1~la5,嗶哩啪啦,哔哩啪啦,NA,NA,GongLiangYu,SOUND
bì~lǐ~pāi~lā,bi~li~pai~la,bi4~li3~pai1~la1,畢裡拍拉,毕里拍拉,pjit~NA~phaek~lop,*pi[t]~NA~*mə-pʰˤrak~*[r]ˤəp,GongLiangYu,SOUND
bì~lǜ~bù~lā,bi~lü~bu~la,bi4~lü4~bu4~la1,必律不剌,必律不剌,pjit~lwit~pjuw~lat,*pi[t]~*[r]ut~*pə~*mə.rˤat (~ C.rˤat ?),GongLiangYu,SOUND
bì~líu~bù~lā,bi~liu~bu~la,bi4~liu2~bu4~la1,必留不剌,必留不剌,pjit~ljuw~pjuw~lat,*pi[t]~*C.ru~*pə~*mə.rˤat (~ C.rˤat ?),GongLiangYu,SOUND
bì~lì~bù~lā,bi~li~bu~la,bi4~li4~bu4~la1,必力不剌,必力不剌,pjit~lik~pjuw~lat,*pi[t]~*k.rək~*pə~*mə.rˤat (~ C.rˤat ?),GongLiangYu,SOUND
bì~līu~bù~lā,bi~liu~bu~la,bi4~liu1~bu4~la1,必溜不剌,必溜不剌,pjit~NA~pjuw~lat,*pi[t]~NA~*pə~*mə.rˤat (~ C.rˤat ?),GongLiangYu,SOUND
bào~bào,bao~bao,bao4~bao4,趵趵,趵趵,NA,NA,GongLiangYu,SOUND
bō~bō,bo~bo,bo1~bo1,鮁鮁,鮁鮁,NA,NA,GongLiangYu,SOUND
bá~bá,ba~ba,ba2~ba2,拔拔,拔拔,beat~beat,*bˤ<r>ot~*bˤ<r>ot,GongLiangYu,SOUND
bō~gé~bō~gé,bo~ge~bo~ge,bo1~ge2~bo1~ge2,剝格剝格,剥格剥格,paewk~kaek~paewk~kaek,*[p]ˤrok (~ *mə-pˤrok)~*kˤrak~*[p]ˤrok (~ *mə-pˤrok)~*kˤrak,GongLiangYu,SOUND
bǔ~bǔ~chī~chī,bu~bu~chi~chi,bu3~bu3~chi1~chi1,卜卜赤赤,卜卜赤赤,puwk~puwk~tsyhek~tsyhek,*pˤok~*pˤok~*[t-qʰ](r)Ak~*[t-qʰ](r)Ak,GongLiangYu,SOUND
bù~lā~lā,bu~la~la,bu4~la1~la1,不剌剌,不剌剌,pjuw~lat~lat,*pə~*mə.rˤat (~ C.rˤat ?)~*mə.rˤat (~ C.rˤat ?),GongLiangYu,SOUND
bù~lǎ~lǎ,bu~la~la,bu4~la3~la3,不喇喇,不喇喇,pjuw,*pə,GongLiangYu,SOUND
fā~la~la,fa~la~la,fa1~la5~la5,沷啦啦,沷啦啦,NA,NA,GongLiangYu,SOUND
bá~la~la,ba~la~la,ba2~la5~la5,拔啦啦,拔啦啦,beat,*bˤ<r>ot,GongLiangYu,SOUND
bù~lǎng~lǎng,bu~lang~lang,bu4~lang3~lang3,不朗朗,不朗朗,pjuw~langX~langX,*pə~*k.rˤaŋʔ~*k.rˤaŋʔ,GongLiangYu,SOUND
bù~láng~láng,bu~lang~lang,bu4~lang2~lang2,不琅琅,不琅琅,pjuw~lang~lang,*pə~*[r]ˤaŋ~*[r]ˤaŋ,GongLiangYu,SOUND
cā,ca,ca1,擦,擦,NA,NA,GongLiangYu,SOUND
qiè,qie,qie4,㗫,㗫,NA,NA,GongLiangYu,SOUND
cā~cā,ca~ca,ca1~ca1,擦擦,擦擦,NA,NA,GongLiangYu,SOUND
cā~cā,ca~ca,ca1~ca1,㗫㗫,㗫㗫,NA,NA,GongLiangYu,SOUND
cā~dá,ca~da,ca1~da2,擦達,擦达,NA~dat,NA~*[l]ˤat,GongLiangYu,SOUND
cáo,cao,cao2,嘈,嘈,NA,NA,GongLiangYu,SOUND
cáo~cáo,cao~cao,cao2~cao2,嘈嘈,嘈嘈,NA,NA,GongLiangYu,SOUND
cēng,ceng,ceng1,噌,噌,NA,NA,GongLiangYu,SOUND
chā,cha,cha1,喳,喳,NA,NA,GongLiangYu,SOUND
chā~chā,cha~cha,cha1~cha1,喳喳,喳喳,NA,NA,GongLiangYu,SOUND
chā~dá,cha~da,cha1~da2,喳達,喳达,NA~dat,NA~*[l]ˤat,GongLiangYu,SOUND
chā~dá~chā~dá,cha~da~cha~da,cha1~da2~cha1~da2,喳達喳達,喳达喳达,NA~dat~NA~dat,NA~*[l]ˤat~NA~*[l]ˤat,GongLiangYu,SOUND
chán~chán,chan~chan,chan2~chan2,潺潺,潺潺,NA,NA,GongLiangYu,SOUND
chēng,cheng,cheng1,琤,琤,NA,NA,GongLiangYu,SOUND
chēng~chēng,cheng~cheng,cheng1~cheng1,琤琤,琤琤,NA,NA,GongLiangYu,SOUND
chēng~cōng,cheng~cong,cheng1~cong1,琤瑽,琤瑽,NA,NA,GongLiangYu,SOUND
chēng~hóng,cheng~hong,cheng1~hong2,噌吰,噌吰,NA,NA,GongLiangYu,SOUND
chī,chi,chi1,哧,哧,NA,NA,GongLiangYu,SOUND
chī,chi,chi1,嗤,嗤,NA,NA,GongLiangYu,SOUND
chī~chá,chi~cha,chi1~cha2,吃察,吃察,NA~tsrheat,NA~*[tsʰ]ˤret,GongLiangYu,SOUND
chī~chī,chi~chi,chi1~chi1,哧哧,哧哧,NA,NA,GongLiangYu,SOUND
chī~chī,chi~chi,chi1~chi1,嗤嗤,嗤嗤,NA,NA,GongLiangYu,SOUND
chī~chī,chi~chi,chi1~chi1,吃吃,吃吃,NA,NA,GongLiangYu,SOUND
chī~dì,chi~di,chi1~di4,吃地,吃地,NA~dijH,NA~*[l]ˤej-s,GongLiangYu,SOUND
chī~dì,he~di,chi1~di4,紇地,纥地,NA~dijH,NA~*[l]ˤej-s,GongLiangYu,SOUND
chī~dì,xi~di,chi1~di4,吸地,吸地,xip~dijH,*qʰ(r)əp~*[l]ˤej-s,GongLiangYu,SOUND
chī~dì,xi~de,chi1~di4,吸的,吸的,xip~tek,*qʰ(r)əp~*[t-l]ˤewk,GongLiangYu,SOUND
chī~chī~hā~hā,chi~chi~ha~ha,chi1~chi1~ha1~ha1,哧哧哈哈,哧哧哈哈,NA,NA,GongLiangYu,SOUND
chī~la~chī~la,chi~la~chi~la,chi1~la5~chi1~la5,嗤啦嗤啦,嗤啦嗤啦,NA,NA,GongLiangYu,SOUND
chì~lì~lì,chi~li~li,chi4~li4~li4,赤力力,赤力力,tsyhek~lik~lik,*[t-qʰ](r)Ak~*k.rək~*k.rək,GongLiangYu,SOUND
chì~lì~lì,chi~lv~lv,chi4~li4~li4,赤律律,赤律律,tsyhek~lwit~lwit,*[t-qʰ](r)Ak~*[r]ut~*[r]ut,GongLiangYu,SOUND
chì~lì~lì,xi~li~li,chi4~li4~li4,吸力力,吸力力,xip~lik~lik,*qʰ(r)əp~*k.rək~*k.rək,GongLiangYu,SOUND
chì~lì~lì,xi~lin~lin,chi4~li4~li4,吸淋淋,吸淋淋,xip~lim~lim,*qʰ(r)əp~*r[ə]m~*r[ə]m,GongLiangYu,SOUND
chì~lì~lì,xi~li~li,chi4~li4~li4,吸哩哩,吸哩哩,xip,*qʰ(r)əp,GongLiangYu,SOUND
chī~līu,chi~liu,chi1~liu1,哧溜,哧溜,NA,NA,GongLiangYu,SOUND
chī~pī~pī,chi~pi~pi,chi1~pi1~pi1,吃丕丕,吃丕丕,NA~phij~phij,NA~*pʰrə~*pʰrə,GongLiangYu,SOUND
chī~pī~pī,chi~te~te,chi1~pi1~pi1,吃忒忒,吃忒忒,NA~thok~thok,NA~*l̥ˤək~*l̥ˤək,GongLiangYu,SOUND
chī~pī~pī,ke~pi~pi,chi1~pi1~pi1,可丕丕,可丕丕,khaX~phij~phij,*[k]ʰˤa[j]ʔ~*pʰrə~*pʰrə,GongLiangYu,SOUND
chū~chū,chu~chu,chu1~chu1,出出,出出,tsyhwit~tsyhwit,*t-kʰut~*t-kʰut,GongLiangYu,SOUND
chuā~chuā,xu~xu,chua1~chua1,欻欻,欻欻,NA,NA,GongLiangYu,SOUND
chuā~lā,xu~la,chua1~la1,欻拉,欻拉,NA~lop,NA~*[r]ˤəp,GongLiangYu,SOUND
cī,ci,ci1,刺,刺,tshjeH,*[tsʰ]ek-s,GongLiangYu,SOUND
cī~cī,ci~ci,ci1~ci1,刺刺,刺刺,tshjeH~tshjeH,*[tsʰ]ek-s~*[tsʰ]ek-s,GongLiangYu,SOUND
cī~lēng,ci~leng,ci1~leng1,刺棱,刺棱,tshjeH,*[tsʰ]ek-s,GongLiangYu,SOUND
cī~līu,ci~liu,ci1~liu1,刺溜,刺溜,tshjeH,*[tsʰ]ek-s,GongLiangYu,SOUND
cōng~cōng,cong~cong,cong1~cong1,鏦鏦,鏦鏦,NA,NA,GongLiangYu,SOUND
cóng~chēng,cong~cheng,cong2~cheng1,淙琤,淙琤,NA,NA,GongLiangYu,SOUND
cóng~chēng,cong~cheng,cong2~cheng1,琮琤,琮琤,NA,NA,GongLiangYu,SOUND
cóng~cóng,cong~cong,cong2~cong2,琮琮,琮琮,NA,NA,GongLiangYu,SOUND
cóng~cóng,cong~cong,cong2~cong2,漎漎,漎漎,NA,NA,GongLiangYu,SOUND
dā,ta,da1,嗒,嗒,NA,NA,GongLiangYu,SOUND
dā~dā,ta~ta,da1~da1,嗒嗒,嗒嗒,NA,NA,GongLiangYu,SOUND
dá~dá,da~da,da2~da2,答答,答答,top~top,*[t]ˤ[u]p~*[t]ˤ[u]p,GongLiangYu,SOUND
dā~dā,da~da,da1~da1,噠噠,哒哒,NA,NA,GongLiangYu,SOUND
dā~dī~dā~dī,da~di~da~di,da1~di1~da1~di1,達滴達滴,达滴达滴,dat~NA~dat,*[l]ˤat~NA~*[l]ˤat,GongLiangYu,SOUND
dāng,dang,dang1,當,当,tang,*tˤaŋ,GongLiangYu,SOUND
dāng,dang,dang1,鐺,铛,NA,NA,GongLiangYu,SOUND
dāng~dāng,dang~dang,dang1~dang1,當當,当当,tang~tang,*tˤaŋ~*tˤaŋ,GongLiangYu,SOUND
dāng~dāng,dang~dang,dang1~dang1,鐺鐺,铛铛,NA,NA,GongLiangYu,SOUND
dāng~dāng~dīng,dang~dang~ding,dang1~dang1~ding1,當當丁,当当丁,tang~tang~teng,*tˤaŋ~*tˤaŋ~*tˤeŋ,GongLiangYu,SOUND
dāng~dāng~dīng~dīng,dang~dang~ding~ding,dang1~dang1~ding1~ding1,當當丁丁,当当丁丁,tang~tang~teng~teng,*tˤaŋ~*tˤaŋ~*tˤeŋ~*tˤeŋ,GongLiangYu,SOUND
dāng~lāng,dang~lang,dang1~lang1,當啷,当啷,tang,*tˤaŋ,GongLiangYu,SOUND
dāng~lāng~lāng,dang~lang~lang,dang1~lang1~lang1,當啷啷,当啷啷,tang,*tˤaŋ,GongLiangYu,SOUND
dé~dé,de~de,de2~de2,得得,得得,tok~tok,*tˤək~*tˤək,GongLiangYu,SOUND
dēng,deng,deng1,登,登,tong,*k-tˤəŋ,GongLiangYu,SOUND
dēng~dēng,deng~deng,deng1~deng1,噔噔,噔噔,NA,NA,GongLiangYu,SOUND
dìng~dōng~zhā~huài,deng~dong~zha~huai,ding4~dong1~zha1~huai4,噔咚扎咶,噔咚扎咶,NA,NA,GongLiangYu,SOUND
dēng~léng~léng,deng~leng~leng,deng1~leng2~leng2,噔棱棱,噔棱棱,NA,NA,GongLiangYu,SOUND
dī~dá,di~da,di1~da2,滴答,滴答,NA~top,NA~*[t]ˤ[u]p,GongLiangYu,SOUND
dī~dá,di~da,di1~da2,滴達,滴达,NA~dat,NA~*[l]ˤat,GongLiangYu,SOUND
dí~dā,di~ta,di2~da1,嘀嗒,嘀嗒,NA,NA,GongLiangYu,SOUND
dí~dā~dí~dā,di~ta~di~ta,di2~da1~di2~da1,嘀嗒嘀嗒,嘀嗒嘀嗒,NA,NA,GongLiangYu,SOUND
dī~dī,di~di,di1~di1,樀樀,樀樀,NA,NA,GongLiangYu,SOUND
dī~dī,di~di,di1~di1,滴滴,滴滴,NA,NA,GongLiangYu,SOUND
dī~dī~dá~dá,di~di~da~da,di1~di1~da2~da2,滴滴答答,滴滴答答,NA~NA~top~top,NA~NA~*[t]ˤ[u]p~*[t]ˤ[u]p,GongLiangYu,SOUND
dī~dī~dā~dā,di~di~da~da,di1~di1~da1~da1,滴滴搭搭,滴滴搭搭,NA,NA,GongLiangYu,SOUND
dī~dī~dōng~dōng,di~di~dong~dong,di1~di1~dong1~dong1,嘀嘀冬冬,嘀嘀冬冬,NA~NA~towng~towng,NA~NA~*tˤuŋ~*tˤuŋ,GongLiangYu,SOUND
dī~dī~gū~gū,di~di~gu~gu,di1~di1~gu1~gu1,滴滴咕咕,滴滴咕咕,NA,NA,GongLiangYu,SOUND
dī~dī~xī~xī,di~di~xi~xi,di1~di1~xi1~xi1,滴滴淅淅,滴滴淅淅,NA,NA,GongLiangYu,SOUND
dī~lì,di~li,di1~li4,滴瀝,滴沥,NA,NA,GongLiangYu,SOUND
dī~lū~dū~lū,di~di~lu~lu,di1~lu1~du1~lu1,嘀嚕嘟嚕,嘀噜嘟噜,NA,NA,GongLiangYu,SOUND
dīng~dāng,ding~dang,ding1~dang1,叮噹,叮噹,NA,NA,GongLiangYu,SOUND
dīng~dāng,ding~dang,ding1~dang1,丁當,丁当,teng~tang,*tˤeŋ~*tˤaŋ,GongLiangYu,SOUND
dīng~dāng,ding~dang,ding1~dang1,叮當,叮当,NA~tang,NA~*tˤaŋ,GongLiangYu,SOUND
dīng~dāng,ding~dang,ding1~dang1,丁璫,丁璫,teng,*tˤeŋ,GongLiangYu,SOUND
dīng~dāng,ding~dang,ding1~dang1,玎璫,玎璫,NA,NA,GongLiangYu,SOUND
dīng~dīng~dāng,ding~ding~dang,ding1~ding1~dang1,叮叮當,叮叮当,NA~NA~tang,NA~NA~*tˤaŋ,GongLiangYu,SOUND
dīng~dīng~dāng~dāng,ding~ding~dang~dang,ding1~ding1~dang1~dang1,丁丁當當,丁丁当当,teng~teng~tang~tang,*tˤeŋ~*tˤeŋ~*tˤaŋ~*tˤaŋ,GongLiangYu,SOUND
dīng~dīng~dāng~dāng,ding~ding~dang~dang,ding1~ding1~dang1~dang1,叮叮噹噹,叮叮噹噹,NA,NA,GongLiangYu,SOUND
dīng~dīng~dāng~dāng,ding~ding~dang~dang,ding1~ding1~dang1~dang1,叮叮當當,叮叮当当,NA~NA~tang~tang,NA~NA~*tˤaŋ~*tˤaŋ,GongLiangYu,SOUND
dīng~dīng~dāng~dāng,ding~ding~dang~dang,ding1~ding1~dang1~dang1,玎玎璫璫,玎玎璫璫,NA,NA,GongLiangYu,SOUND
dīng~dīng~dāng~dāng,ding~ding~dang~dang,ding1~ding1~dang1~dang1,釘釘鐺鐺,钉钉铛铛,teng~teng,*tˤeŋ~*tˤeŋ,GongLiangYu,SOUND
dīng~dīng~dōng,ding~ding~dong,ding1~ding1~dong1,叮叮咚,叮叮咚,NA,NA,GongLiangYu,SOUND
dīng~dōng,ding~dong,ding1~dong1,丁冬,丁冬,teng~towng,*tˤeŋ~*tˤuŋ,GongLiangYu,SOUND
dīng~dǒng,ding~dong,ding1~dong3,丁董,丁董,teng,*tˤeŋ,GongLiangYu,SOUND
dīng~dīng~dǒng~dǒng,ding~ding~dong~dong,ding1~ding1~dong3~dong3,丁丁董董,丁丁董董,teng~teng,*tˤeŋ~*tˤeŋ,GongLiangYu,SOUND
dīng~dōng~dīng~dōng,ding~dong~ding~dong,ding1~dong1~ding1~dong1,丁冬丁冬,丁冬丁冬,teng~towng~teng~towng,*tˤeŋ~*tˤuŋ~*tˤeŋ~*tˤuŋ,GongLiangYu,SOUND
dīng~dōng~dīng~dōng,ding~dong~ding~dong,ding1~dong1~ding1~dong1,叮咚叮咚,叮咚叮咚,NA,NA,GongLiangYu,SOUND
dīng~líng,ding~ling,ding1~ling2,丁零,丁零,teng~leng,*tˤeŋ~*[r]ˤiŋ,GongLiangYu,SOUND
dīng~líng,ding~ling,ding1~ling2,丁玲,丁玲,teng,*tˤeŋ,GongLiangYu,SOUND
dīng~líng,ding~ling,ding1~ling2,玎玲,玎玲,NA,NA,GongLiangYu,SOUND
dīng~líng~dāng~lāng,ding~ling~dang~lang,ding1~ling2~dang1~lang1,丁零當啷,丁零当啷,teng~leng~tang,*tˤeŋ~*[r]ˤiŋ~*tˤaŋ,GongLiangYu,SOUND
dīng~líng~dīng~líng,ding~ling~ding~ling,ding1~ling2~ding1~ling2,丁零丁零,丁零丁零,teng~leng~teng~leng,*tˤeŋ~*[r]ˤiŋ~*tˤeŋ~*[r]ˤiŋ,GongLiangYu,SOUND
